aerodromo,qtde_ocorr,qtde_aeronaves,perc_ocorr
***,3124,3147,31.82
SBGR,341,343,3.47
SBKP,248,249,2.53
**NI,222,223,2.26
SBGL,202,206,2.06
SBBR,201,204,2.05
SBSP,199,208,2.03
SBMT,185,185,1.88
SBPA,176,176,1.79
SBBH,169,169,1.72
SBLO,162,163,1.65
SBSV,159,162,1.62
SBRF,149,151,1.52
SBRJ,143,144,1.46
SBEG,133,133,1.35
SBGO,131,134,1.33
SBCF,120,120,1.22
SBCT,108,109,1.1
SBJR,104,105,1.06
SBBE,98,98,1.0
SBFZ,93,94,0.95
SBJD,91,93,0.93
SBBI,86,88,0.88
SBRP,86,87,0.88
SBFL,81,81,0.82
SBCY,81,81,0.82
SBCG,72,73,0.73
SBUL,62,62,0.63
SBVT,58,60,0.59
SBBP,53,53,0.54
SBNF,53,54,0.54
SBPR,52,52,0.53
SBNV,50,52,0.51
SBSJ,49,50,0.5
SBME,44,44,0.45
SBMG,42,42,0.43
****,40,40,0.41
SBRB,37,37,0.38
APUA,36,36,0.37
SBSL,36,36,0.37
SDCO,35,37,0.36
SBSR,34,34,0.35
SWFN,32,32,0.33
SDAM,32,32,0.33
SBJV,32,32,0.33
SBTE,31,32,0.32
SBPJ,31,31,0.32
SBSN,29,29,0.3
SBMA,29,29,0.3
SBFI,27,28,0.27
SBCA,25,25,0.25
SBPV,24,24,0.24
SDPW,22,23,0.22
SBMO,22,22,0.22
SBJP,22,22,0.22
SBJF,21,21,0.21
SBJC,21,21,0.21
SBPS,21,21,0.21
SBBU,20,21,0.2
SDTB,18,18,0.18
SBJU,18,18,0.18
SDAI,18,20,0.18
SNPA,18,18,0.18
SBIL,18,19,0.18
SDVH,17,17,0.17
SBMK,16,16,0.16
SBDN,16,16,0.16
SBCB,16,16,0.16
SBUR,15,16,0.15
SBCP,15,15,0.15
SBBV,15,15,0.15
SSBN,14,14,0.14
SBVC,14,14,0.14
SBTF,14,14,0.14
SBMQ,13,13,0.13
SIXE,13,13,0.13
SBAU,13,13,0.13
SBPF,13,13,0.13
SBPL,13,14,0.13
SWLV,13,13,0.13
SBAR,13,14,0.13
SWUZ,13,14,0.13
SSKG,12,13,0.12
SBCX,12,13,0.12
SIVU,12,12,0.12
SDIH,12,12,0.12
SWCA,11,11,0.11
SBML,11,11,0.11
SBPG,11,11,0.11
SSBL,11,13,0.11
SBIZ,11,12,0.11
SSNH,11,12,0.11
SWNS,10,11,0.1
SDEN,10,10,0.1
SSKT,10,11,0.1
SBCZ,10,10,0.1
SSOK,10,10,0.1
SDIO,10,11,0.1
SDMC,10,11,0.1
SWFR,10,10,0.1
SNDV,9,9,0.09
SWPI,9,9,0.09
SSIE,9,9,0.09
SDUB,9,9,0.09
SDAG,9,9,0.09
SBPK,8,8,0.08
SBGW,8,8,0.08
SBHT,8,8,0.08
SBNM,8,8,0.08
SBNT,8,8,0.08
SWPD,8,8,0.08
SBSM,8,8,0.08
SDRK,8,8,0.08
SSCN,8,8,0.08
SBUY,7,7,0.07
SBTT,7,7,0.07
SBSG,7,7,0.07
SJNP,7,7,0.07
SDTF,7,7,0.07
SWRD,7,7,0.07
SNDC,7,7,0.07
SSKZ,7,7,0.07
SSNG,7,7,0.07
SSOG,7,7,0.07
SDBB,7,10,0.07
SBFS,6,6,0.06
SBIH,6,6,0.06
SBJA,6,6,0.06
SBLJ,6,6,0.06
SBPC,6,6,0.06
SBPP,6,6,0.06
SBRD,6,6,0.06
SBSI,6,6,0.06
