aerodromo,periodo,qtde_ocorr,perc_ocorr
***,12:00 às 18:00,1129,11.5
***,18:00 às 00:00,841,8.57
***,00:00 às 06:00,643,6.55
***,06:00 às 12:00,511,5.21
SBGR,00:00 às 06:00,108,1.1
SBGR,12:00 às 18:00,89,0.91
SBKP,00:00 às 06:00,84,0.86
SBGR,18:00 às 00:00,83,0.85
SBMT,12:00 às 18:00,80,0.81
**NI,12:00 às 18:00,79,0.8
SBGL,00:00 às 06:00,64,0.65
SBKP,12:00 às 18:00,64,0.65
SBSP,12:00 às 18:00,64,0.65
SBKP,18:00 às 00:00,63,0.64
SBGR,06:00 às 12:00,61,0.62
SBSP,18:00 às 00:00,61,0.62
SBBR,18:00 às 00:00,59,0.6
**NI,00:00 às 06:00,56,0.57
SBSP,00:00 às 06:00,56,0.57
SBBR,00:00 às 06:00,55,0.56
SBRJ,00:00 às 06:00,55,0.56
SBMT,18:00 às 00:00,54,0.55
SBPA,00:00 às 06:00,54,0.55
SBBR,12:00 às 18:00,54,0.55
SBPA,18:00 às 00:00,53,0.54
SBPA,12:00 às 18:00,53,0.54
SBBH,12:00 às 18:00,53,0.54
SBBH,00:00 às 06:00,52,0.53
SBGL,18:00 às 00:00,52,0.53
SBJR,12:00 às 18:00,50,0.51
SBLO,00:00 às 06:00,50,0.51
SBSV,18:00 às 00:00,50,0.51
SBRF,00:00 às 06:00,49,0.5
SBLO,12:00 às 18:00,49,0.5
**NI,18:00 às 00:00,48,0.49
SBGO,12:00 às 18:00,48,0.49
SBBH,18:00 às 00:00,46,0.47
SBGL,06:00 às 12:00,46,0.47
SBSV,12:00 às 18:00,44,0.45
SBRJ,18:00 às 00:00,44,0.45
SBLO,18:00 às 00:00,43,0.44
SBBI,12:00 às 18:00,41,0.42
SBEG,00:00 às 06:00,41,0.42
SBGL,12:00 às 18:00,40,0.41
**NI,06:00 às 12:00,38,0.39
SBKP,06:00 às 12:00,37,0.38
SBCT,00:00 às 06:00,37,0.38
SBSV,00:00 às 06:00,36,0.37
SBEG,12:00 às 18:00,35,0.36
SBRF,18:00 às 00:00,35,0.36
SBRF,06:00 às 12:00,34,0.35
SBGO,00:00 às 06:00,34,0.35
SBBR,06:00 às 12:00,33,0.34
SBCF,00:00 às 06:00,33,0.34
SBJD,12:00 às 18:00,33,0.34
SBEG,18:00 às 00:00,33,0.34
SBBE,12:00 às 18:00,32,0.33
SBRP,18:00 às 00:00,32,0.33
SBBE,18:00 às 00:00,31,0.32
SBPR,12:00 às 18:00,31,0.32
SBRF,12:00 às 18:00,31,0.32
SBFZ,12:00 às 18:00,31,0.32
SBSJ,12:00 às 18:00,30,0.31
SBCG,18:00 às 00:00,30,0.31
SBMT,00:00 às 06:00,30,0.31
SBGO,18:00 às 00:00,30,0.31
SBJR,18:00 às 00:00,30,0.31
SBCF,12:00 às 18:00,30,0.31
SBCF,18:00 às 00:00,29,0.3
SBSV,06:00 às 12:00,29,0.3
SBCT,18:00 às 00:00,29,0.3
SBFZ,00:00 às 06:00,29,0.3
SBCF,06:00 às 12:00,28,0.29
SBCT,12:00 às 18:00,27,0.28
SBFL,18:00 às 00:00,26,0.26
SBJD,18:00 às 00:00,26,0.26
SBRJ,12:00 às 18:00,26,0.26
SBCY,18:00 às 00:00,25,0.25
SBFZ,18:00 às 00:00,24,0.24
SBEG,06:00 às 12:00,24,0.24
SBCY,12:00 às 18:00,24,0.24
SBNV,12:00 às 18:00,24,0.24
