aerodromo,ocorrencia_cidade,qtde_ocorr,qtde_saida_pista,perc_ocorr
***,CARAZINHO,1,132.0,1.34
***,FARTURA,1,132.0,1.34
***,FORMOSA DO RIO PRETO,1,132.0,1.34
***,FLORESTÓPOLIS,1,132.0,1.34
***,FLORESTA,1,132.0,1.34
***,FIGUEIRÓPOLIS,1,132.0,1.34
***,FIGUEIRÃO,1,132.0,1.34
***,FERROS,1,132.0,1.34
***,FERNANDÓPOLIS,1,132.0,1.34
***,FELIXLÂNDIA,1,132.0,1.34
***,FAROL,1,132.0,1.34
***,FORTALEZA DOS VALOS,1,132.0,1.34
***,FAMA,1,132.0,1.34
***,EXU,1,132.0,1.34
***,EXTREMOZ,1,132.0,1.34
***,EUNÁPOLIS,1,132.0,1.34
***,ESTÂNCIA,1,132.0,1.34
***,ESTEIO,1,132.0,1.34
***,ESPÍRITO SANTO DO TURVO,1,132.0,1.34
***,ESPÍRITO SANTO DO DOURADO,1,132.0,1.34
***,FORQUILHINHA,1,132.0,1.34
***,FRANCISCO MORATO,1,132.0,1.34
***,GUARANI D'OESTE,1,132.0,1.34
***,GOIOERÊ,1,132.0,1.34
***,GUARAMIRIM,1,132.0,1.34
***,GUARACI,1,132.0,1.34
***,GUARABIRA,1,132.0,1.34
***,GUAPÉ,1,132.0,1.34
***,GUAPIRAMA,1,132.0,1.34
***,GUABIRUBA,1,132.0,1.34
***,GRAVATÁ,1,132.0,1.34
***,GOIÁS,1,132.0,1.34
***,GOIANÁ,1,132.0,1.34
***,FRANCO DA ROCHA,1,132.0,1.34
***,GOIANIRA,1,132.0,1.34
***,GLÓRIA D'OESTE,1,132.0,1.34
***,GLORINHA,1,132.0,1.34
***,GENERAL CARNEIRO,1,132.0,1.34
***,GAÚCHA DO NORTE,1,132.0,1.34
***,GAMELEIRA,1,132.0,1.34
***,FRUTAL,1,132.0,1.34
***,FRONTEIRA,1,132.0,1.34
***,ESPINOSA,1,132.0,1.34
***,ESPIGÃO D'OESTE,1,132.0,1.34
***,ESMERALDAS,1,132.0,1.34
***,COROATÁ,1,132.0,1.34
***,CRIXÁS,1,132.0,1.34
***,CRISTALÂNDIA,1,132.0,1.34
***,CRISTALINA,1,132.0,1.34
***,COTRIGUAÇU,1,132.0,1.34
***,COTIA,1,132.0,1.34
***,COSTA RICA,1,132.0,1.34
***,CORURIPE,1,132.0,1.34
***,CORUMBAÍBA,1,132.0,1.34
***,CORNÉLIO PROCÓPIO,1,132.0,1.34
***,ENGENHEIRO COELHO,1,132.0,1.34
***,CORINTO,1,132.0,1.34
