aerodromo,tipo_ocorr,qtde_ocorr,perc_ocorr
***,FALHA DO MOTOR EM VOO,607,6.18
***,PERDA DE CONTROLE EM VOO,362,3.69
***,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,237,2.41
***,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,188,1.91
***,PERDA DE CONTROLE NO SOLO,169,1.72
***,OUTROS,155,1.58
***,INDETERMINADO,137,1.4
***,POUSO EM LOCAL NÃO PREVISTO,121,1.23
***,COLISÃO COM AVE,118,1.2
***,PANE SECA,109,1.11
SBGR,COLISÃO COM AVE,90,0.92
***,OPERAÇÃO A BAIXA ALTITUDE,89,0.91
SBKP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,85,0.87
***,ESTOURO DE PNEU,70,0.71
***,TRÁFEGO AÉREO,69,0.7
SBGR,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,69,0.7
SBGL,COLISÃO COM AVE,65,0.66
SBKP,COLISÃO COM AVE,63,0.64
SBSP,COLISÃO COM AVE,62,0.63
SBPA,COLISÃO COM AVE,57,0.58
***,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,56,0.57
SBRF,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,55,0.56
***,COM TREM DE POUSO,55,0.56
SBBR,COLISÃO COM AVE,53,0.54
SBCF,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,53,0.54
SBMT,ESTOURO DE PNEU,51,0.52
SBSV,COLISÃO COM AVE,49,0.5
***,VOO CONTROLADO CONTRA O TERRENO,48,0.49
***,COLISÃO COM OBSTÁCULOS NO SOLO,45,0.46
***,PERDA DE COMPONENTE EM VOO,44,0.45
SBRJ,COLISÃO COM AVE,44,0.45
SBLO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,43,0.44
SBPA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,42,0.43
SBGL,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,41,0.42
**NI,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,39,0.4
SBBH,ESTOURO DE PNEU,39,0.4
SBBH,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,38,0.39
SBJD,ESTOURO DE PNEU,36,0.37
SBBE,COLISÃO COM AVE,33,0.34
SBFZ,COLISÃO COM AVE,31,0.32
SBGO,COLISÃO COM AVE,31,0.32
SBSP,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,31,0.32
***,COM PARA-BRISAS / JANELA / PORTA,29,0.3
SBSV,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,29,0.3
SBMT,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,28,0.29
